,CAL27,COLO201,SCC25,PANC0403,ASPC1,SKLMS1,SKMEL24,LI7,LMSU,SW1573,MKN45,CHAGOK1,SUM159PT,WILL1,LS411N,KMS26,HUH1,HCT116,COV434,SUDHL10,HUH7,HEPG2,SW620,G401,SUDHL4,TE5,MDAMB468,HCC15,OVISE,SUIT2,HS294T,A2058,THP1,SKUT1,TE11,HARA,SKHEP1,PANC1,A375,NUGC3,MDST8,NCIH2170,A549
LGALS3BP,0.951999188320245,1.0,0.8924016767290599,0.9755973287081121,0.906251618591305,0.8233536160635322,0.9854756611069624,0.9566098715099709,0.9175460363426449,0.8916510342910708,0.9275028367533147,0.8205325197573063,0.8742485525819241,0.6976225281436241,0.8743342518011354,0.0,0.8063644690154395,0.8844518823799414,0.25734732605881977,0.34931380540965845,0.33737228161203897,0.9350611131022137,0.9276896368845087,0.5479431386535374,0.05622522700824917,0.9070439523263005,0.9231972580973953,0.9526312628061839,0.8939754788668535,0.8891166087014337,0.955456984764284,0.9738814347079439,0.3318501329813108,0.9341351484004319,0.8907877618038362,0.8170005234989159,0.955738411003302,0.8729527549594549,0.92362144968572,0.8776470711341973,0.8996281012576859,0.8504757173411375,0.6647134816942584
SELL,0.2749185328559515,0.11198368533126371,0.2424276122591123,0.20931515298246164,0.037308841174996214,0.13325377031370247,0.6516663860457078,0.5999078160619794,0.35732510238032833,0.05774857771408861,0.16249578117947655,0.32957765559434593,0.0,0.06427379800453747,0.07066375036421112,0.5748164162764554,0.13325377031370247,0.4700604416985177,0.17161339741768256,0.9999999999999999,0.26559156065918926,0.08906921036162443,0.01544990451023757,0.13325377031370247,0.29823898523941983,0.20137089454827944,0.13833809408162207,0.0,0.08906921036162443,0.030188590843370295,0.48765676811028624,0.17161339741768256,0.07692327669862353,0.07692327669862353,0.1804450443805862,0.08305697401177572,0.051082985329462684,0.007817589953629793,0.2687383004039841,0.4390211549070691,0.030188590843370295,0.397320514987092,0.14824644548924426
ISG20,0.7621050569209755,0.9501064821883536,0.8029707540878079,0.7799918078221499,0.8982422861580146,0.5489751363124764,0.7110354052120246,0.6351138711499505,0.30627552041733297,0.6032106276923235,0.5226524190378212,0.634343799409385,0.17698491977237363,0.8070402264957597,0.6790218017032297,0.986036585696167,0.6193476229528777,0.17496129583852177,0.2829956623549793,0.850339640668186,0.722569889647682,0.6008318519319517,0.38913099074122515,0.32838414424790385,1.0,0.5035783759276133,0.532005855818164,0.7153930803466829,0.6105894299391007,0.41280027839361777,0.7021266676395134,0.7819279361934632,0.2991834352639524,0.6603289325190669,0.39069536600088095,0.22450910517741446,0.4897687795833673,0.5957168019249229,0.8893471960482189,0.6165550798233052,0.0,0.17292125439392597,0.6322057205159608
HELZ2,0.9816356709177108,1.0,0.9247260391694518,0.8269784669239106,0.8766036783840381,0.897145526034896,0.7110399184971354,0.5030925071019168,0.6969316244181571,0.8356101926505739,0.8996395536467814,0.8852856013604213,0.574095145060699,0.011079951944063526,0.7662045550935142,0.0,0.5648074927106468,0.6649398241501168,0.8439026001987888,0.46768180105158447,0.7780076461130652,0.6851092667203811,0.5091824319814642,0.4878360514013796,0.2289178384925893,0.9332560589244914,0.8679795594698714,0.7057439488912358,0.9723630807546697,0.7818829403867023,0.9263762239572699,0.6943207621764425,0.6607835787200598,0.9285727076557084,0.7949373453849642,0.7222236798024417,0.7793610291506603,0.7241924012701746,0.6811568203806024,0.7386932312859897,0.964481139460625,0.5440876444451477,0.3947553705487237
ELF1,0.649244223181688,0.8533265836556854,0.3678306576063972,0.6074448316586014,0.4893861308209566,0.2659840946524181,0.49577187941321976,0.4041652205404398,0.31779709902900444,0.2882357597220204,0.6066170881223683,0.2858990097224672,0.43264274649298007,0.9999999999999998,0.6334223100504823,0.8537645822068967,0.26263067692815656,0.43280116886124165,0.30214147249357803,0.9182099216606774,0.5405682997021721,0.4520816211636347,0.38479224759763686,0.22188892273659033,0.803604056730846,0.6653035173745219,0.46578787032735147,0.33623482017666384,0.4883504184252725,0.32863284097040313,0.5451240517484537,0.5531928781647728,0.8368547872967593,0.20142751073767573,0.43766870673289104,0.37604888366675016,0.0,0.26875127088218265,0.3558833670163579,0.220928373621873,0.3128269374984496,0.6814263768333004,0.38007298159937064
PSMB8,0.9873683021205188,0.9098465426161164,0.8839242142674438,0.9397988161511341,0.8850812220935086,0.871282419120163,0.8831999427198498,0.863354947074068,0.8817609836490693,0.9746446613126074,0.8620947317183579,0.763022869980017,0.91575617742806,0.9893191020627905,0.7575366762542541,0.9353244088102297,0.8033360371178471,0.06099340185720656,0.46096387064366173,0.9527400543072784,0.40247274073576145,0.7689053497106025,0.6740161641698308,0.0,0.8780381913919214,0.9112132652320584,0.9624987987253675,0.8025186099265591,0.9060390120420658,0.8662322329491419,0.8573754215084896,0.8659761093603225,1.0,0.84088338078899,0.8260099393745383,0.7976072834301674,0.9152554893115967,0.8269919418879144,0.8300814386585728,0.8387718240212948,0.8759008296010364,0.851203951147505,0.6622431922802653
TRAFD1,0.9772207824630557,0.5067993231339671,0.37769137523517093,0.4019427838097487,0.38121897470043864,0.6376000434794427,0.5590758756188348,0.7130213431375161,0.4072237457047887,0.40656767149951767,0.2398382962136143,0.34049916238492983,0.17792326232088973,0.7283524921645164,0.38051607067382287,0.8358008672085591,0.11839001291020601,0.488167336246939,0.5828345985973122,0.0,0.5643554415861445,0.19476956417086067,0.33709983276003896,0.5374331872785776,0.05284321347795373,1.0,0.5143816713762335,0.5991004394016284,0.5710879909922055,0.43984298191122884,0.6093258576065077,0.41113627550309806,0.5637884994229698,0.5855103854429635,0.49460043859092506,0.6875060880743238,0.3067958565483333,0.5297058134139601,0.5084613529675699,0.5422917087795875,0.3466973277161096,0.28759864054135775,0.5216469116114504
CNP,0.3638244857544075,0.7648452092771296,0.0,0.41208221638399456,0.1914631699845648,0.09395020894718487,1.0,0.6291644003318404,0.32555170105829756,0.5101145806043426,0.5111799350667305,0.23502805109091307,0.1881535130123244,0.1619273933886176,0.2795986627464955,0.24097676702687432,0.3189868696348195,0.4146790914795666,0.5282202971131942,0.06630071957293326,0.24979458890967976,0.6340842371114017,0.42791562599076327,0.3284156213266267,0.10126057927211152,0.35269826659775383,0.4974851460608072,0.37111513714145916,0.37275019018827527,0.35876115662933383,0.9762763557313958,0.9820351312846496,0.3594406911919976,0.7152541852629031,0.03870845236583742,0.4795847603201855,0.46186213663275755,0.3840817271993626,0.7592309201667824,0.043627274128246185,0.6352189683275324,0.3598929525179799,0.39696622214141586
EIF2AK2,1.0,0.869350806642684,0.7945731235490041,0.8268888909017655,0.6758710934958119,0.5457197297333294,0.5998352649217478,0.5957562425192351,0.8256001118701288,0.9114356183469554,0.6092896939237336,0.6020401153400634,0.6641754634434966,0.7601229360005735,0.8992673252271377,0.0,0.5325800543987849,0.9018561383668926,0.795387794681377,0.35429072806023876,0.18474191601146406,0.3983328462596445,0.48343760658516466,0.6517400645312743,0.12923241496211268,0.8083360950279683,0.9329389662527161,0.9766829024161168,0.6822918984704907,0.8921028339055947,0.6828694983672547,0.7387212578367901,0.3521328751499573,0.8926942376534552,0.6100063463174155,0.9426860985657584,0.593510948861736,0.7726128222754354,0.7879782049869188,0.4520060876253309,0.3550073874043995,0.7237885633413317,0.808726074067105
HERC6,1.0,0.8525649988981896,0.8760494094188802,0.8304659360541984,0.7715460538780753,0.6173505861458991,0.6388423379739947,0.45473665695562043,0.6350430009586314,0.6194669229764569,0.5399995353941067,0.03357908389823439,0.43241743452435333,0.460876627135028,0.5665362145009571,0.0271417609222424,0.12158220422690419,0.6420982291344975,0.4151403348555135,0.12630829835027266,0.2611810811460583,0.15738593927129202,0.5840499551507116,0.6704142806749986,0.0,0.5003916157914783,0.6988134934810485,0.7029833254601077,0.7379386700467823,0.6281830985204517,0.730718895347469,0.6046570811226385,0.5367151238181138,0.5801548819319551,0.5622461567750003,0.7191970818771602,0.5138844265149352,0.12158220422690419,0.5615214024084525,0.6656870595343912,0.5138844265149352,0.5934352377081575,0.6184119795417266
