,Gene,log2FC,p-value
1844,DIRAS3,0.5107956852602815,0.4446591295409833
8590,PTH2R,0.5106452056626974,0.3367013026005505
2196,GCLM,0.5099850801638852,0.4881406780084746
2535,FAM19A3,0.5071346943494797,0.2608811056236248
12849,LIMCH1,0.5068571124721959,0.5426206991689335
14389,RP11-781M16.2,0.5052710888934612,0.36025741943501577
10121,TWF2,0.5042762592075576,0.10414706164451192
13303,CXCL5,0.5031801092709487,0.6868307068364237
16621,C5orf15,0.5029630045098665,0.1949979978750217
9572,SLC4A7,0.5023307851165186,0.09497560985847565
791,PAQR7,0.501135671312686,0.5255551739775335
13760,COL25A1,0.5009703453505145,0.3403290151393147
559,PADI3,0.5009453630188885,0.192351806359017
4154,C1orf53,0.5007370291465809,0.05578491472105243
4499,TMEM206,0.5004816199646602,0.022883825594506954
