,Gene,log2FC,p-value
9920,PTH1R,0.9065350158187739,0.3288975881996706
14337,MAP9,0.9008244639143677,0.030321673005797942
14324,FGA,0.8967094664339673,0.3691190375444847
3039,MLLT11,0.8955634611238681,0.2100842433754221
1811,PDE4B,0.8953363322726026,0.2036798745430924
7999,DLX1,0.8943522920890621,0.31147779095810946
11833,AC007620.3,0.891883592410329,0.058095237150240384
5810,RP11-490M8.1,0.8906696925488737,0.09690767565557748
2098,GBP1,0.8869025828576564,0.14696078236222765
14355,GUCY1B3,0.8857955025555354,0.25084823664403405
13470,HPSE,0.8841400959549568,0.2118161076359243
14976,RP11-54F2.1,0.883589010678568,0.0978627970560438
10301,ADAMTS9,0.8799223844672812,0.29223897167910307
11963,EHHADH,0.8773518055802048,0.060723065638929305
2447,CSF1,0.876319556326592,0.3664941484440185
5743,GALNT14,0.8722957178181436,0.22549483992113725
2616,IGSF3,0.8706957746321922,0.31737241534694177
12597,BST1,0.8687981042402151,0.21498177080297504
5725,CLIP4,0.8679244395286818,0.09162509965010004
4454,HHAT,0.8628765884328484,0.02260491033061889
2922,RP11-14N7.2,0.8619107902151804,0.04742249029848594
15234,ADAMTS12,0.8609746352121995,0.2504547587943608
3951,MR1,0.8607703843201238,0.025227302472735604
12409,CRMP1,0.8576921192248328,0.26122490791670655
7990,CYBRD1,0.8573783385669034,0.3188653077147171
10267,C3orf14,0.8567498259137865,0.10786784351439063
10520,EPHA3,0.8561932865395264,0.38208735995044796
13998,PGRMC2,0.8545133432018464,0.10300136759531305
8140,FKBP7,0.851481231373169,0.01059175113152993
11094,PLXND1,0.8495003381315476,0.4081712204168109
12016,RPL39L,0.8489366152338764,0.16983791507751272
1537,RAB3B,0.8484966883852811,0.2745441349983992
14722,RP11-11N5.1,0.8455007644872772,0.43816268807255077
8246,COL5A2,0.840806225639245,0.572251737033515
14440,RP11-366M4.3,0.836426106249601,0.3662797448926883
13691,BDH2,0.8360813948547454,0.028359254759912078
7330,INHBB,0.8336832557295188,0.4840927044419894
5929,PLEKHH2,0.8310408309137193,0.09768167720027814
9406,WNT7A,0.8305143338161102,0.44459075255789715
298,RP3-510D11.2,0.8282377662628115,0.11262470086992823
997,SPOCD1,0.8265990503148735,0.20735673319480846
7062,FHL2,0.8258509289904348,0.1863527651895897
2441,GSTM3,0.8221731755722812,0.29160350233231463
12805,UGDH,0.8194267122303174,0.32138540639149027
1966,DNAJB4,0.817351278778041,0.04137594614645995
11745,FNDC3B,0.8166755954304166,0.07684438441703796
3904,SOAT1,0.8160766107290458,0.007199311114777895
14940,SEMA5A,0.809825589543996,0.3058135418520675
784,SEPN1,0.8087252822166149,0.05449100301224843
3483,PEA15,0.8045783985397854,0.12299064346749784
7129,SEPT10,0.8043983181778738,0.021929546670541915
9580,AC098614.2,0.8033800476754018,0.1193722066803206
1140,RP11-422J8.1,0.7998102658574298,0.022945340162025984
507,EPHA2,0.7952052858071372,0.1259585788685391
2634,VTCN1,0.794056265802225,0.6000180419173505
6473,AC104135.4,0.7934388800831804,0.25104485070847293
9043,SH3BP4,0.7916867510079402,0.21596862145808451
5696,BRE,0.7912025651728976,0.02270944495494879
15450,ITGA2,0.791198306635513,0.2893454414745644
5748,EHD3,0.7901837368581706,0.020338761346156
10651,NXPE3,0.789986764095294,0.06560145221683922
966,SDC3,0.7856514700157606,0.32450135835066696
10164,TKT,0.7833130030213393,0.0917930955464438
4205,TMEM9,0.782600970952033,0.03886273025889779
12439,SORCS2,0.7799821600827475,0.32989244590529065
14634,WWC2,0.7797486907490838,0.04854844095043316
5383,CYS1,0.7793607886975276,0.4810474395884047
14131,TBC1D9,0.7783035759476693,0.0719877396109543
10366,GPR27,0.7782603622422872,0.3271663256724612
4277,ADORA1,0.7745952845846072,0.35174290534825925
10883,HGD,0.7744982741925264,0.5001326357713215
13973,FAT4,0.7731970922337301,0.08550143138271415
8672,MARCH4,0.7726622819939484,0.42146134958635817
9836,ANO10,0.7719719001248322,0.03122301348381828
4692,ENAH,0.7715641584759059,0.07854613259531322
10528,PROS1,0.7684924563666713,0.07844052630020797
13210,UGT2B7,0.7651273264527214,0.35908830933907293
14594,AGA,0.764455801325481,0.04956047959363547
4085,RP11-547I7.2,0.7623058641264532,0.29827954800386897
5639,SLC35F6,0.7612898934765826,0.026610185131632876
7337,RP11-297J22.1,0.7602252413728051,0.18229953827841677
5328,RNF144A,0.7593773262363808,0.2688335128401092
4960,GPR137B,0.759193991999183,0.03071991384253811
3173,S100A3,0.7590474209187803,0.3125832193570226
5677,NRBP1,0.7587833277435578,0.007192880279442734
206,AJAP1,0.7543990971517577,0.24032547811497748
14080,SLC7A11,0.7533830413799505,0.454974851542291
11639,RP11-71H9.1,0.7531807658427009,0.3585553105334018
16571,P4HA2,0.7494075629126482,0.04661894602257117
5512,LAPTM4A,0.7486102367412748,0.1350241280522358
7218,IL1B,0.7469687709262628,0.5566143846687375
11226,IL20RB,0.7467360604625211,0.461644879806028
12847,UCHL1,0.7446006197283332,0.6232032894756838
15901,BHMT2,0.7428124541665663,0.49018202736658134
10739,CD96,0.742393073644162,0.4127076207139802
10845,B4GALT4,0.7415969182182414,0.2052275308881713
4957,NID1,0.7376278402845984,0.53796971212605
10600,LINC00973,0.7366595634877864,0.27870478538758353
16349,TICAM2,0.7357149388530697,0.02705599706564718
8685,IGFBP5,0.7346560449409492,0.5963730976234378
7002,IL1R1,0.7344919570053983,0.3456130744610471
7257,SLC35F5,0.7324460248839859,0.3764139149032659
15329,DAB2,0.731576957957998,0.35818594228582656
12592,CC2D2A,0.7295649132397422,0.017969918847144595
5868,MORN2,0.7277613412852215,0.0013426362114900092
3800,TNFSF4,0.7275476049780751,0.3109941412205317
3174,S100A2,0.7271164301848447,0.5538270072726139
5838,CDC42EP3,0.7237246991496518,0.09004393630056357
16431,LOX,0.7185992866583046,0.4623778521457924
8941,ARMC9,0.71734620998231,0.06364844534812666
12057,IL1RAP,0.7159285462964686,0.25537021044434827
4864,EGLN1,0.7133723722908987,0.1157976959266538
6079,RTN4,0.712992685919108,0.02260075786372458
5814,FEZ2,0.7111049956475513,0.04486881098865993
7744,RBM43,0.708617956023504,0.011045374100788439
13999,RP11-420A23.1,0.7078999987334562,0.10964644028701129
15445,ITGA1,0.707583510798949,0.3344566356385641
7306,C2orf76,0.7068120803116433,0.1392302045046864
5695,RBKS,0.7061503079232346,0.23130904333830254
11585,IQCJ-SCHIP1,0.7054391286041775,0.036688231070690074
7898,COBLL1,0.7014446085325119,0.2616908777435613
4837,PGBD5,0.7014308072511704,0.3541753910434154
8823,PAX3,0.7003412107857447,0.2372525581604801
2454,SLC6A17,0.698199890444706,0.2642076647073698
15456,FST,0.6977330453103916,0.5655949074464572
10075,TMEM115,0.6972791698277057,0.010451986788804036
2681,PHGDH,0.6952853071658796,0.24394467355961422
367,AGTRAP,0.6921939502715087,0.013051302290413925
12083,MB21D2,0.6916397776986531,0.1486332890844019
10652,NFKBIZ,0.6910112424727406,0.3568489020606195
7328,RALB,0.6901063313663309,0.18885911344359363
16105,MCTP1,0.6896777108548078,0.0671159696462463
8814,EPHA4,0.6896367162761964,0.25306197597691504
11756,NCEH1,0.6839953300987065,0.2602001987411556
3144,SPRR2D,0.679863912406437,0.46523671288576185
2142,BRDT,0.6780905264732666,0.4073244902517871
3296,RP11-29H23.5,0.6780605821542406,0.06533650550364867
13745,CYP2U1,0.6766476219887892,0.02206951716030369
3020,CTSS,0.6763812047935285,0.466865914412411
12789,FAM114A1,0.6746203342701853,0.1529353988480774
6354,TGFA,0.6741677886480315,0.5293703366820028
10841,IGSF11,0.6717009686613812,0.14522324397193365
9278,LMCD1,0.6707368648226593,0.388863551867429
6790,AC027612.6,0.670359181851081,0.08014701640382493
8074,HOXD11,0.6692636787161601,0.19730357903278017
3273,GBA,0.6652368255104912,0.04716142239591795
3746,PRRX1,0.6642438493699158,0.29784850161984416
16674,CXCL14,0.6634056352417655,0.2223087868618886
10621,TMEM45A,0.6625400949958342,0.22074834043525135
